product_ID,sentence_ID,review_ID,cleaned_sentence,aspect_span,opinion_span,cleaned_opinion_span,sentiment,category
31252580,1,312525801,배송은 생각보다 더 빨랐어요!!,배송은,빨랐어요,빨랐어요,POS,배송
31252580,2,312525802,제가 좋아하는 부드러운 재질이고 가을에 입기에 좋을만한 두께입니다 !,재질이고,부드러운,부드러운,POS,재질
31252580,2,312525802,제가 좋아하는 부드러운 재질이고 가을에 입기에 좋을만한 두께입니다 !,두께입니다,가을에 입기에 좋은만한,가을에 입기에 좋은만한,POS,두께
31252580,3,312525803,퀄리티도 생각했던 것보다 더 좋고 가격대비 아주 좋은 제품이라고 느꼈어요,퀄리티도,생각했던 것보다 더 좋고,생각했던 것보다 더 좋고,POS,퀄리티
31252580,4,312525804,귀여운 무드 좋아하시는 분들께 추천!,무드,귀여운,귀여운,POS,무드
31252580,5,312525805,팔도 길게 나왔고 몸통 부분도 여유있게 나와서 다 커버해줘요..,몸통,여유있게 나와서,여유있게 나와서,POS,몸통
31252580,6,312525806,사진에 있는 아이보리 컬러랑 똑같아요!,컬러랑,사진에 있는 아이보리,사진에 있는 아이보리,POS,컬러
11640227,1,116402271,전체적으로 사이즈가 조금 큰 편이긴 함,사이즈가,조금 큰 편이긴,조금 큰 편이긴,NEG,사이즈
11640227,2,116402272,생각보다 엄청 두꺼운 재질도 아니였음,재질도,두꺼운 재질도 아니였음,두꺼운 재질도 아니였음,NEG,재질
11640227,3,116402273,까슬거리는 면도 아님 엄청 까진 아니여도 부드러웠음,면도,부드러웠음,부드러웠음,POS,면
11640227,4,116402274,진짜 이쁘고 나같이 작은 키에 이런 오버핏 너무 맘에 든다,핏,너무 맘에 든다,너무 맘에 든다,POS,핏
14560521,1,145605211,이 가격에 이 퀄리티도 말이 안됨.,퀄리티도,말이 안됨,말이 안됨,POS,퀄리티
24980389,1,249803891,"이 후드티는 너무 어둡지도, 너무 밝지도 않은 적당한 중간 톤의 갈색으로, 캐주얼하면서도 세련된 느낌을 줍니다.",갈색으로,"너무 어둡지도, 너무 밝지도 않은 적당한 중간 톤의","너무 어둡지도, 너무 밝지도 않은 적당한 중간 톤의",POS,색
24980389,2,249803892,착용감은 예상 이상으로 부드럽고 편안했습니다.,착용감은,부드럽고 편안했습니다,부드럽고 편안했습니다,POS,착용
5677621,1,56776211,이건 뭔 얇기도 오지게 얇아서 다비치고,얇기도,오지게 얇아서 다비치고,오지게 얇아서 다비치고,NEG,얇기
5677621,2,56776212,구매당시에 배송 지연에 대한 별다른 공지가 없었는데 구매하고보니 늦어지더라구요!,배송 지연에,구매하고보니 늦어지더라구요!,구매하고보니 늦어지더라구요!,NEG,배송 지연
4595253,1,45952531,배송:갱느리구용 4일? 정도 제가 참을 성이랑 기다릴 성이 읎어서요,배송,갱느리구용 ㅎㅎ,갱느리구용,NEG,배송
4595253,2,45952532,적당한 냄새니까 굳이 머 뿌리고 그러진 않아도 돼여,냄새니까,적당한,적당한,NEU,냄새
4546155,1,45461551,원래 사이즈대로 주문하시면 예쁘게 잘 입을수 있을것 같아요!,원래 사이즈,예쁘게 잘 입을수 있을것 같아요!,예쁘게 잘 입을수 있을것 같아요!,POS,원래 사이즈
4546155,2,45461552,맨살에 닿여도 부들부들 기분좋은 소재입니다,소재입니다,맨살에 닿여도 부들부들 기분좋은,맨살에 닿여도 부들부들 기분좋은,POS,소재
4546155,3,45461553,지방에 사는데 이 정도면 주문하고 거의 바로 발송해주신거 같아요,발송,주문하고 거의 바로,주문하고 거의 바로,POS,발송
30768415,1,307684151,"기모이지만 엄청 두꺼운 기모가 아니라서 핏이 오히려 부해보이지 않고, 답답하지 않은 느낌이에요!",핏이,"오히려 부해보이지 않고,","오히려 부해보이지 않고,",POS,핏
30768415,2,307684152,프린팅도 너무 제 스타일이고 만족했어요.,프린팅도,너무 제 스타일이고,너무 제 스타일이고,POS,프린팅
30768415,3,307684153,배송도 진짜 빨라서 주문하고 다다음날 바로 받았습니다.,배송도,진짜 빨라서,진짜 빨라서,POS,배송
30768415,4,307684154,핏 무난하게 예쁘고 가격대도 후드티에 이 가격이면 넘 괜찮으니까 다들 기본 후드티 하나씩 장만하세요!!,핏,무난하게 예쁘고,무난하게 예쁘고,POS,핏
27895455,1,278954551,배송은 조금 느렸지만 그래도 많이 느리진 않았고 냄새도 이상하지 않고 프린팅도 너무 예뻤습니다!,배송은,조금 느렸지만,조금 느렸지만,NEU,배송
27895455,1,278954551,배송은 조금 느렸지만 그래도 많이 느리진 않았고 냄새도 이상하지 않고 프린팅도 너무 예뻤습니다!,냄새도,이상하지 않고,이상하지 않고,NEU,냄새
27895455,1,278954551,배송은 조금 느렸지만 그래도 많이 느리진 않았고 냄새도 이상하지 않고 프린팅도 너무 예뻤습니다!,프린팅도,너무 예뻤습니다!,너무 예뻤습니다!,POS,프린팅
10815435,1,108154351,색이 저한테 받진 않지만 색감 짱이에요,색감,짱이에요,짱이에요,POS,색
9842030,1,98420301,비싸게 주고 샀는데 이건 아닌것 같네요 팔부분이 너무 떠요..,팔부분이,너무 떠요..ㅠ,너무 떠요..,NEG,부분
3497133,1,34971331,오버핏이라 엉덩이 절반을 조금 더 덮는 기장이지만 예뻐서 만족합니다,기장이지만,엉덩이 절반을 조금 더 덮는,엉덩이 절반을 조금 더 덮는,NEU,기장
4622508,1,46225081,그리고 기모도 따숩고 마감도 깔끔하고 소매에 로고 자수도 그저 귀엽게 느껴지고 dd 옷에서 이상한 냄새도 하나도 안 납니다,마감도,깔끔하고,깔끔하고,POS,마감
4622508,2,46225082,그리고 기모도 따숩고 마감도 깔끔하고 소매에 로고 자수도 그저 귀엽게 느껴지고 dd 옷에서 이상한 냄새도 하나도 안 납니다,자수도,귀엽게 느껴지고,귀엽게 느껴지고,POS,자수
4622508,3,46225083,그리고 기모도 따숩고 마감도 깔끔하고 소매에 로고 자수도 그저 귀엽게 느껴지고 dd 옷에서 이상한 냄새도 하나도 안 납니다,냄새도,하나도 안 납니다,하나도 안 납니다,POS,냄새
9944466,1,99444661,"옷감이 얇아 여름에 입기에는 적합하지만, 재질이 너무 흐물흐물해서 모양이 잘 잡히지 않는다는 점이 아쉬웠습니다",옷감이,"얇아 여름에 입기에는 적합하지만,","얇아 여름에 입기에는 적합하지만,",POS,옷감
9944466,1,99444661,"옷감이 얇아 여름에 입기에는 적합하지만, 재질이 너무 흐물흐물해서 모양이 잘 잡히지 않는다는 점이 아쉬웠습니다",재질이,너무 흐물흐물해서,너무 흐물흐물해서,NEG,재질
9944466,2,99444662,가격에 비해 퀄리티가 많이 떨어지는 것 같아 재구매는 고민해봐야 할 것 같습니다.,퀄리티가,많이 떨어지는 것 같아,많이 떨어지는 것 같아,NEG,퀄리티
11649945,1,116499451,다만 옷이 전체적으로 굉장히 얇아서 바람이 송송 다 들어오고 소매 부분은 한두번 입었더니 너덜너덜해요,소매,한두번 입었더니 너덜너덜해요,한두번 입었더니 너덜너덜해요,NEG,소매
11649945,2,116499452,박시핏이라 핏 낭낭하니 너무 예쁘고 158 기준 엉덩이 덮는 기장이라 귀여워보입니다,핏,낭낭하니 너무 예쁘고,낭낭하니 너무 예쁘고,POS,핏
11649945,3,116499453,그리고 목 구멍이 엄청 좁아서 목 조르는 느낌이 자꾸 들어서 너무 붕편해요,목 구멍이,엄청 좁아서,엄청 좁아서,NEG,목 구멍
25376921,1,253769211,일단 가격대에 비해 재질이 좋은 편인 것 같아요,재질,좋은 편인 것 같아요,좋은 편인 것 같아요,POS,재질
25376921,2,253769212,사이즈도 딱 제가 원하는 아방한 핏 나오고요!,사이즈,아방한 핏,아방한 핏,POS,사이즈
36891897,1,368918971,핏 생각보다 음.. 짱짱해서 그런지 잘 모르겠는데 사이즈는 맞아요,핏,생각보다 음..,생각보다 음..,NEU,핏
36891897,2,368918972,"아쉬운건 옷 안쪽 택이 불량이라는점,,;",택이,불량이라는점,불량이라는점,NEG,택
42013439,1,420134391,일단 배송은 주말에시켰는데도 바로 2일정도 걸렸던거같아여 빠른편!!,배송은,바로 2일정도 걸렸던거같아여,바로 2일정도 걸렸던거같아여,POS,배송
42013439,2,420134392,이 후드집업은 안에 레이어드로 휘뚜루마뚜리입기너무조아여,레이어드로,휘뚜루마뚜리입기너무조아여,휘뚜루마뚜리입기너무조아여,POS,레이어 드
30154246,1,301542461,후드도 허리 시보리가 예쁘게 잡혀서 핏이 예쁘구 엉덩이 안덮게떨어지는 기장이라 예뻐요 !!,허리 시보리가,예쁘게 잡혀서 핏이 예쁘구,예쁘게 잡혀서 핏이 예쁘구,POS,허리 보리
30154246,1,301542461,후드도 허리 시보리가 예쁘게 잡혀서 핏이 예쁘구 엉덩이 안덮게떨어지는 기장이라 예뻐요 !!,기장이라,엉덩이 안덮게떨어지는,엉덩이 안덮게떨어지는,POS,기장
38419317,1,384193171,색은 흔히 아는 버건디에서 살짝 더 밝은 정도입다,색은,흔히 아는 버건디에서 살짝 더 밝은 정도입다,흔히 아는 버건디에서 살짝 더 밝은 정도입다,NEU,색
